Rank,Villager,Personality
149,Moe,Lazy (Bonyari)
150,Deirdre,Sisterly (Aneki)
151,Rudy,Jock (Hakihaki)
152,Bruce,Cranky (Kowai)
153,Margie,Normal (Futsuu)
154,Megan,Normal (Futsuu)
155,Nate,Lazy (Bonyari)
156,Bubbles,Peppy (Genki)
157,Egbert,Lazy (Bonyari)
158,Piper,Peppy (Genki)
159,Bertha,Normal (Futsuu)
160,Chester,Lazy (Bonyari)
161,Olive,Normal (Futsuu)
162,Diva,Sisterly (Aneki)
163,Bea,Normal (Futsuu)
164,Vivian,Snooty (Otona)
165,Maddie,Peppy (Genki)
166,Boomer,Lazy (Bonyari)
167,Puck,Lazy (Bonyari)
168,Axel,Jock (Hakihaki)
169,Mac,Jock (Hakihaki)
170,Walt,Cranky (Kowai)
171,Keaton,Smug (Kiza)
172,Alfonso,Lazy (Bonyari)
173,Vladimir,Cranky (Kowai)
174,Pango,Peppy (Genki)
175,Sly,Jock (Hakihaki)
176,Butch,Cranky (Kowai)
177,Patty,Peppy (Genki)
178,Tex,Smug (Kiza)
179,Pate,Peppy (Genki)
180,Sylvana,Normal (Futsuu)
181,Francine,Snooty (Otona)
182,Savannah,Normal (Futsuu)
183,Deli,Lazy (Bonyari)
184,Rodeo,Lazy (Bonyari)
185,Carmen,Peppy (Genki)
186,Billy,Jock (Hakihaki)
187,Frita,Sisterly (Aneki)
188,Mint,Snooty (Otona)
189,Tom,Cranky (Kowai)
190,Boots,Jock (Hakihaki)
191,Flip,Jock (Hakihaki)
192,Tiffany,Snooty (Otona)
193,Felicity,Peppy (Genki)
194,Buck,Jock (Hakihaki)
195,Murphy,Cranky (Kowai)
196,Bella,Peppy (Genki)
197,Eunice,Normal (Futsuu)
198,Stu,Lazy (Bonyari)
199,Sprinkles,Peppy (Genki)
200,Nibbles,Peppy (Genki)
201,Boone,Jock (Hakihaki)
202,Willow,Snooty (Otona)
203,Chadder,Smug (Kiza)
204,Blanche,Snooty (Otona)
205,Agent S,Peppy (Genki)
206,Prince,Lazy (Bonyari)
207,Doc,Lazy (Bonyari)
208,Blaire,Snooty (Otona)
209,Plucky,Sisterly (Aneki)
210,Elvis,Cranky (Kowai)
211,Pierce,Jock (Hakihaki)
212,Twiggy,Peppy (Genki)
213,Beardo,Smug (Kiza)
214,Ken,Smug (Kiza)
215,Colton,Smug (Kiza)
216,Olaf,Smug (Kiza)
217,Pudge,Lazy (Bonyari)
218,Tipper,Snooty (Otona)
219,Tabby,Peppy (Genki)
220,Anchovy,Lazy (Bonyari)
221,Coach,Jock (Hakihaki)
222,Stinky,Jock (Hakihaki)
223,Al,Lazy (Bonyari)
224,Del,Cranky (Kowai)
225,Deena,Normal (Futsuu)
226,Rodney,Smug (Kiza)
227,Bettina,Normal (Futsuu)
228,Cole,Lazy (Bonyari)
229,Drake,Lazy (Bonyari)
230,Lionel,Smug (Kiza)
231,Iggly,Jock (Hakihaki)
232,Pompom,Peppy (Genki)
233,Avery,Cranky (Kowai)
234,Cyd,Cranky (Kowai)
235,Camofrog,Cranky (Kowai)
236,Broccolo,Lazy (Bonyari)
237,Barold,Lazy (Bonyari)
238,Rod,Jock (Hakihaki)
239,Pecan,Snooty (Otona)
240,Cyrano,Cranky (Kowai)
241,Winnie,Peppy (Genki)
242,Sheldon,Jock (Hakihaki)
243,Marcie,Normal (Futsuu)
244,Caroline,Normal (Futsuu)
245,Annalisa,Normal (Futsuu)
246,Spike,Cranky (Kowai)
247,Jay,Jock (Hakihaki)
248,Jacob,Lazy (Bonyari)
249,Peggy,Peppy (Genki)
250,Kitt,Normal (Futsuu)
251,Marcel,Lazy (Bonyari)
252,Hopper,Cranky (Kowai)
253,Sylvia,Sisterly (Aneki)
254,Renee,Sisterly (Aneki)
255,Gaston,Cranky (Kowai)
256,Tasha,Snooty (Otona)
257,Victoria,Peppy (Genki)
258,Portia,Snooty (Otona)
259,Hopkins,Lazy (Bonyari)
260,Ava,Normal (Futsuu)
261,Derwin,Lazy (Bonyari)
262,Tammi,Peppy (Genki)
263,Gonzo,Cranky (Kowai)
264,Purrl,Snooty (Otona)
265,Hugh,Lazy (Bonyari)
266,Tybalt,Jock (Hakihaki)
267,Drift,Jock (Hakihaki)
268,Chops,Smug (Kiza)
269,Paolo,Lazy (Bonyari)
270,Rowan,Jock (Hakihaki)
271,Maggie,Normal (Futsuu)
272,Hamphrey,Cranky (Kowai)
273,Klaus,Smug (Kiza)
274,Sally,Normal (Futsuu)
275,Blathers,
276,Hans,Smug (Kiza)
277,Rocket,Sisterly (Aneki)
278,Jacques,Smug (Kiza)
279,Ed,Smug (Kiza)
280,Tom Nook,
281,Grizzly,Cranky (Kowai)
282,Benedict,Lazy (Bonyari)
283,Benjamin,Lazy (Bonyari)
284,Bud,Jock (Hakihaki)
285,Bree,Snooty (Otona)
286,Anabelle,Peppy (Genki)
287,Amelia,Snooty (Otona)
288,Bonbon,Peppy (Genki)
289,Leonardo,Jock (Hakihaki)
290,Celeste,
291,Kody,Jock (Hakihaki)
292,Elmer,Lazy (Bonyari)
293,Lucy,Normal (Futsuu)
294,Claude,Lazy (Bonyari)
295,Curlos,Smug (Kiza)
296,Simon,Lazy (Bonyari)
297,Dora,Normal (Futsuu)
298,Louie,Jock (Hakihaki)
299,Eloise,Snooty (Otona)
300,Leopold,Smug (Kiza)
301,Gabi,Peppy (Genki)
302,Cousteau,Jock (Hakihaki)
303,Opal,Snooty (Otona)
304,Curt,Cranky (Kowai)
305,Big Top,Lazy (Bonyari)
306,Rasher,Cranky (Kowai)
307,Kevin,Jock (Hakihaki)
308,Rory,Jock (Hakihaki)
309,Tucker,Lazy (Bonyari)
310,Groucho,Cranky (Kowai)
311,Pippy,Peppy (Genki)
312,Ike,Cranky (Kowai)
313,Cally,Normal (Futsuu)
314,Knox,Cranky (Kowai)
315,Rhonda,Normal (Futsuu)
316,Yuka,Snooty (Otona)
317,O'Hare,Smug (Kiza)
318,Gloria,Snooty (Otona)
319,Sable,
320,Soleil,Snooty (Otona)
321,Lucha,Smug (Kiza)
322,Sandy,Normal (Futsuu)
323,Rover,
324,Truffles,Peppy (Genki)
325,Samson,Jock (Hakihaki)
326,Claudia,Snooty (Otona)
327,Carrie,Normal (Futsuu)
328,Ursala,Snooty (Otona)
329,Huck,Smug (Kiza)
330,Peck,Jock (Hakihaki)
331,Peewee,Cranky (Kowai)
332,Sparro,Jock (Hakihaki)
333,Tad,Jock (Hakihaki)
334,Spork,Lazy (Bonyari)
335,Cobb,Jock (Hakihaki)
336,Mathilda,Snooty (Otona)
337,Admiral,Cranky (Kowai)
338,Jitters,Jock (Hakihaki)
339,Kitty,Snooty (Otona)
340,Charlise,Sisterly (Aneki)
341,Gruff,Cranky (Kowai)
342,Astrid,Snooty (Otona)
343,Cleo,Snooty (Otona)
344,Clyde,Lazy (Bonyari)
345,Peaches,Normal (Futsuu)
346,Naomi,Snooty (Otona)
347,Gigi,Snooty (Otona)
348,Angus,Cranky (Kowai)
349,Mott,Jock (Hakihaki)
350,Jambette,Normal (Futsuu)
351,Frobert,Jock (Hakihaki)
352,Monique,Snooty (Otona)
353,Penelope,Peppy (Genki)
354,Frank,Cranky (Kowai)
355,Friga,Snooty (Otona)
356,Tommy,
357,Rocco,Cranky (Kowai)
358,Vic,Cranky (Kowai)
359,Ricky,Cranky (Kowai)
360,Rooney,Cranky (Kowai)
361,Monty,Cranky (Kowai)
362,Timmy,
363,Curly,Jock (Hakihaki)
364,Harry,Cranky (Kowai)
365,Croque,Cranky (Kowai)
366,Anicotti,Peppy (Genki)
367,Gwen,Snooty (Otona)
368,Paula,Sisterly (Aneki)
369,Leif,
370,Alli,Snooty (Otona)
371,Candi,Peppy (Genki)
372,Annalise,Snooty (Otona)
373,Robin,Snooty (Otona)
374,Buzz,Cranky (Kowai)
375,Velma,Snooty (Otona)
376,Pascal,
377,Timbra,Snooty (Otona)
378,Hippeux,Smug (Kiza)
379,Miranda,Snooty (Otona)
380,Violet,Snooty (Otona)
381,Limberg,Cranky (Kowai)
382,Queenie,Snooty (Otona)
383,Becky,Snooty (Otona)
384,wuisp,
385,T-Bone,Cranky (Kowai)
386,Chow,Cranky (Kowai)
387,Redd,
388,Boris,Cranky (Kowai)
389,Mallary,Snooty (Otona)
390,Blanca,
391,Cashmere,Snooty (Otona)
392,Mabel,
393,Baabara,Snooty (Otona)
394,Maelle,Snooty (Otona)
395,Cesar,Cranky (Kowai)
396,Moose,Jock (Hakihaki)
397,Snooty,Snooty (Otona)
398,K.K. Slider,
399,Boyd,Cranky (Kowai)
400,Daisy Mae,
401,Bitty,Snooty (Otona)
402,Elise,Snooty (Otona)
403,Wart Jr.,Cranky (Kowai)
404,Pancetti,Snooty (Otona)
405,Greta,Snooty (Otona)
406,Broffina,Snooty (Otona)
407,Kicks,
408,Rizzo,Cranky (Kowai)
409,Gulliver,
410,Jack,
411,Don,
412,Digby,
413,Brewster,
414,Luna,
415,Reese,
416,Harvey,
417,Labelle,
418,Resetti,
419,Kapp'n,
420,Katie,
421,Phyllis,
422,Jingle,
423,Shrunk,
424,Zipper,
425,Katrina,
426,Saharah,
427,Gracie,
428,Joan,
429,Harriet,
430,Pelly,
431,Porter,
432,Copper,
433,Lloyd,
434,Lottie,
435,Franklin,
436,Chip,
437,Cyrus,
438,Pavé,
439,Pete,
440,Beppe,
441,Tortimer,
442,Wendell,
443,Grams,
444,Booker,
445,carlo,
446,Lyle,
447,Phineas,
448,Nat,
449,Leila,
450,Giovanni,
451,Leilani,
